account_id,account_name,industry,country,signup_date,referral_source,plan_tier,seats,is_trial,customer_status,tenure_days,tenure_months,total_subscriptions,active_subscriptions,churned_subscriptions,total_mrr,total_arr,mrr_per_seat,total_upgrades,total_downgrades,upgrade_rate,downgrade_rate,auto_renew_subscriptions,auto_renew_rate,usage_events,total_usage,total_duration_secs,total_errors,features_used,total_tickets,avg_resolution_hours,avg_first_response_minutes,avg_satisfaction,escalated_tickets,escalation_rate,total_churn_events,total_refund,reactivation_events,retention_priority_score,retention_priority,priority_reason
A-d40bf7,Company_11,FinTech,IN,2024-11-08,organic,Basic,59,False,Active,53,1.7,10,10,0,43247,518964,733.0,1,0,0.1,0.0,6,0.6,55,562,150186,22,29,2.0,20.5,125.5,5.0,0.0,0.0,0.0,0.0,0.0,2,Priority,High Revenue
A-6c093d,Company_12,DevTools,US,2023-04-14,partner,Basic,7,True,Active,627,20.6,12,9,3,16242,194904,2320.285714285714,2,0,0.16666666666666666,0.0,10,0.8333333333333334,64,670,217275,30,30,3.0,40.333333333333336,68.33333333333333,5.0,1.0,0.3333333333333333,0.0,0.0,0.0,4,Critical,Long Tenure + Support Escalation
A-462d45,Company_13,Cybersecurity,US,2024-01-15,partner,Enterprise,11,True,Active,351,11.5,12,10,2,23432,281184,2130.181818181818,1,2,0.08333333333333333,0.16666666666666666,10,0.8333333333333334,69,642,159561,26,34,4.0,26.75,95.0,4.0,0.0,0.0,1.0,0.0,0.0,2,Priority,Long Tenure
A-956988,Company_14,EdTech,UK,2024-11-30,ads,Enterprise,1,False,Active,31,1.0,13,12,1,29407,352884,29407.0,0,1,0.0,0.07692307692307693,10,0.7692307692307693,70,658,173232,49,32,2.0,50.5,118.0,3.0,0.0,0.0,2.0,0.0,1.0,2,Priority,High Revenue
A-ac14bb,Company_15,FinTech,US,2023-09-08,partner,Enterprise,21,False,Active,480,15.8,8,6,2,27746,332952,1321.2380952380952,2,0,0.25,0.0,7,0.875,54,531,170826,42,31,2.0,24.5,30.5,4.0,0.0,0.0,2.0,128.79,0.0,2,Priority,Long Tenure
A-463db0,Company_16,HealthTech,US,2024-12-05,partner,Basic,15,False,Active,26,0.9,7,7,0,13266,159192,884.4,0,0,0.0,0.0,5,0.7142857142857143,37,367,106259,13,25,6.0,50.166666666666664,94.83333333333333,4.25,1.0,0.16666666666666666,1.0,0.0,1.0,2,Priority,Support Escalation
A-ce66f8,Company_17,EdTech,CA,2023-08-23,event,Pro,29,False,Active,496,16.3,6,6,0,11858,142296,408.8965517241379,0,0,0.0,0.0,6,1.0,46,494,133559,19,29,6.0,41.666666666666664,79.16666666666667,3.5,0.0,0.0,0.0,0.0,0.0,2,Priority,Long Tenure
A-c4ea60,Company_18,FinTech,DE,2023-03-09,other,Enterprise,18,False,Churned,663,21.8,9,9,0,14646,175752,813.6666666666666,0,1,0.0,0.1111111111111111,7,0.7777777777777778,43,427,137244,18,28,5.0,36.0,59.0,3.6,0.0,0.0,0.0,0.0,0.0,2,Priority,Long Tenure
A-832ec2,Company_19,FinTech,UK,2023-11-19,event,Enterprise,4,True,Active,408,13.4,8,8,0,9299,111588,2324.75,3,0,0.375,0.0,3,0.375,49,511,157711,25,31,3.0,26.0,108.66666666666667,4.0,1.0,0.3333333333333333,2.0,0.0,0.0,4,Critical,Long Tenure + Support Escalation
A-684255,Company_20,FinTech,US,2024-04-14,ads,Enterprise,9,False,Active,261,8.6,14,11,3,11844,142128,1316.0,3,1,0.21428571428571427,0.07142857142857142,9,0.6428571428571429,66,653,191849,44,34,4.0,14.25,97.75,4.666666666666667,1.0,0.25,2.0,0.0,1.0,2,Priority,Support Escalation
A-c42f1f,Company_21,HealthTech,US,2024-07-28,other,Pro,8,False,Active,156,5.1,8,7,1,5175,62100,646.875,1,1,0.125,0.125,6,0.75,35,337,98383,20,24,9.0,31.333333333333332,81.88888888888889,4.0,1.0,0.1111111111111111,0.0,0.0,0.0,2,Priority,Support Escalation
A-4e44e8,Company_22,DevTools,US,2024-08-20,ads,Enterprise,3,False,Churned,133,4.4,14,12,2,36445,437340,12148.333333333334,2,0,0.14285714285714285,0.0,11,0.7857142857142857,69,687,208387,37,32,3.0,31.333333333333332,76.66666666666667,3.3333333333333335,0.0,0.0,2.0,35.48,1.0,2,Priority,High Revenue
A-30b4ca,Company_23,EdTech,IN,2024-05-20,organic,Basic,86,False,Churned,225,7.4,8,8,0,75938,911256,883.0,0,0,0.0,0.0,7,0.875,42,402,127433,22,28,3.0,57.666666666666664,108.33333333333333,4.0,0.0,0.0,1.0,0.0,0.0,2,Priority,High Revenue
A-9f2731,Company_24,FinTech,IN,2024-10-04,event,Enterprise,1,False,Active,88,2.9,7,7,0,3613,43356,3613.0,0,1,0.0,0.14285714285714285,7,1.0,32,324,98113,20,23,0.0,0.0,0.0,0.0,0.0,0.0,2.0,136.94,0.0,0,Monitor,No Major Risk Signal
A-32fb14,Company_25,DevTools,US,2023-03-07,event,Enterprise,26,False,Churned,665,21.8,9,7,2,10162,121944,390.84615384615387,2,0,0.2222222222222222,0.0,7,0.7777777777777778,47,488,150708,19,27,5.0,34.0,59.6,4.5,0.0,0.0,3.0,0.0,0.0,2,Priority,Long Tenure
A-00cac8,Company_26,HealthTech,AU,2023-09-15,organic,Enterprise,8,True,Active,473,15.5,9,9,0,14121,169452,1765.125,0,1,0.0,0.1111111111111111,8,0.8888888888888888,58,602,171366,31,30,2.0,33.0,120.5,0.0,0.0,0.0,0.0,0.0,0.0,2,Priority,Long Tenure
A-35083d,Company_27,HealthTech,IN,2023-04-28,partner,Basic,19,False,Churned,613,20.1,16,15,1,32433,389196,1707.0,3,0,0.1875,0.0,14,0.875,72,791,237055,37,29,4.0,49.75,119.0,5.0,0.0,0.0,0.0,0.0,0.0,4,Critical,High Revenue + Long Tenure
A-eb7fac,Company_28,DevTools,US,2023-10-28,organic,Enterprise,7,False,Active,430,14.1,10,9,1,42096,505152,6013.714285714285,0,0,0.0,0.0,9,0.9,53,538,185729,44,27,4.0,34.0,126.5,4.0,0.0,0.0,1.0,0.0,0.0,4,Critical,High Revenue + Long Tenure
A-b20d99,Company_29,HealthTech,IN,2023-09-27,other,Basic,20,False,Active,461,15.1,7,7,0,11069,132828,553.45,1,0,0.14285714285714285,0.0,6,0.8571428571428571,33,329,105214,12,22,2.0,61.5,27.0,3.5,0.0,0.0,1.0,0.0,0.0,2,Priority,Long Tenure
A-396e5f,Company_30,Cybersecurity,CA,2024-10-02,other,Enterprise,2,False,Active,90,3.0,10,10,0,10236,122832,5118.0,2,1,0.2,0.1,8,0.8,55,540,175427,23,29,5.0,24.8,102.8,4.0,1.0,0.2,1.0,0.0,0.0,2,Priority,Support Escalation
A-45ce7a,Company_31,FinTech,US,2023-07-23,ads,Enterprise,16,False,Active,527,17.3,7,6,1,8216,98592,513.5,2,1,0.2857142857142857,0.14285714285714285,5,0.7142857142857143,39,424,124978,30,21,5.0,45.4,91.8,3.6666666666666665,0.0,0.0,0.0,0.0,0.0,2,Priority,Long Tenure
A-08e34e,Company_32,EdTech,US,2024-06-27,event,Basic,14,False,Churned,187,6.1,11,11,0,21821,261852,1558.642857142857,0,0,0.0,0.0,7,0.6363636363636364,63,651,186929,32,34,3.0,43.0,84.0,3.0,0.0,0.0,2.0,228.75,0.0,0,Monitor,No Major Risk Signal
A-8145a0,Company_33,Cybersecurity,AU,2023-04-25,partner,Basic,2,True,Active,616,20.2,12,11,1,17260,207120,8630.0,2,0,0.16666666666666666,0.0,11,0.9166666666666666,64,693,200177,27,32,6.0,23.666666666666668,90.16666666666667,4.0,0.0,0.0,1.0,0.0,0.0,2,Priority,Long Tenure
A-bad8c1,Company_34,FinTech,AU,2023-03-01,organic,Basic,7,False,Active,671,22.0,7,7,0,7797,93564,1113.857142857143,2,0,0.2857142857142857,0.0,7,1.0,37,385,125675,11,29,1.0,27.0,49.0,4.0,0.0,0.0,1.0,0.0,1.0,2,Priority,Long Tenure
A-44dc83,Company_35,EdTech,FR,2024-05-12,other,Basic,5,False,Active,233,7.7,4,4,0,456,5472,91.2,0,0,0.0,0.0,4,1.0,24,248,81119,13,16,7.0,40.857142857142854,76.14285714285714,4.6,0.0,0.0,1.0,98.48,0.0,0,Monitor,No Major Risk Signal
A-f446b6,Company_36,DevTools,DE,2023-05-12,ads,Pro,5,True,Active,599,19.7,9,8,1,11392,136704,2278.4,0,0,0.0,0.0,7,0.7777777777777778,39,376,127515,31,27,8.0,30.75,82.5,4.25,1.0,0.125,0.0,0.0,0.0,4,Critical,Long Tenure + Support Escalation
A-a45270,Company_37,HealthTech,US,2024-06-24,ads,Enterprise,3,False,Active,190,6.2,12,11,1,20131,241572,6710.333333333333,2,1,0.16666666666666666,0.08333333333333333,9,0.75,71,733,222582,53,35,4.0,64.0,110.0,4.0,0.0,0.0,1.0,0.0,0.0,0,Monitor,No Major Risk Signal
A-854864,Company_38,FinTech,IN,2024-12-07,event,Enterprise,20,False,Active,24,0.8,6,5,1,14759,177108,737.95,0,0,0.0,0.0,5,0.8333333333333334,24,248,73517,10,17,5.0,44.2,100.8,4.8,0.0,0.0,1.0,8.47,0.0,0,Monitor,No Major Risk Signal
A-1b7577,Company_39,Cybersecurity,US,2024-10-27,other,Pro,4,False,Active,65,2.1,11,9,2,8771,105252,2192.75,0,1,0.0,0.09090909090909091,11,1.0,62,647,195598,33,33,5.0,27.2,109.4,4.0,0.0,0.0,0.0,0.0,0.0,0,Monitor,No Major Risk Signal
A-05f0e5,Company_40,FinTech,US,2023-05-04,partner,Basic,32,False,Active,607,19.9,12,12,0,51109,613308,1597.15625,2,0,0.16666666666666666,0.0,10,0.8333333333333334,67,706,207116,46,32,4.0,20.0,108.5,4.0,0.0,0.0,2.0,72.19,0.0,4,Critical,High Revenue + Long Tenure
A-9077b0,Company_41,HealthTech,US,2024-08-25,ads,Basic,2,False,Active,128,4.2,7,5,2,3565,42780,1782.5,3,0,0.42857142857142855,0.0,7,1.0,46,493,146301,31,26,3.0,40.333333333333336,136.33333333333334,4.333333333333333,0.0,0.0,0.0,0.0,0.0,0,Monitor,No Major Risk Signal
A-7f8241,Company_42,EdTech,US,2023-03-14,organic,Pro,34,False,Churned,658,21.6,15,15,0,39516,474192,1162.235294117647,2,0,0.13333333333333333,0.0,10,0.6666666666666666,77,734,227186,38,34,1.0,36.0,135.0,3.0,0.0,0.0,0.0,0.0,0.0,4,Critical,High Revenue + Long Tenure
A-2bc93d,Company_43,HealthTech,US,2023-03-14,event,Basic,14,False,Active,658,21.6,13,12,1,32394,388728,2313.8571428571427,4,0,0.3076923076923077,0.0,11,0.8461538461538461,67,666,215735,31,33,2.0,12.0,78.0,4.5,0.0,0.0,2.0,99.1,1.0,4,Critical,High Revenue + Long Tenure
A-f3ff05,Company_44,FinTech,IN,2024-07-06,other,Enterprise,2,False,Active,178,5.8,13,12,1,19465,233580,9732.5,1,0,0.07692307692307693,0.0,12,0.9230769230769231,66,672,210327,36,28,3.0,42.666666666666664,111.33333333333333,3.5,0.0,0.0,1.0,0.0,0.0,0,Monitor,No Major Risk Signal
A-2d4502,Company_45,FinTech,IN,2024-04-29,event,Basic,7,False,Active,246,8.1,10,10,0,29071,348852,4153.0,2,0,0.2,0.0,7,0.7,47,465,127997,19,29,3.0,26.333333333333332,82.0,5.0,0.0,0.0,1.0,0.0,0.0,2,Priority,High Revenue
A-6a4e2d,Company_46,EdTech,UK,2023-04-07,partner,Pro,9,False,Active,634,20.8,11,8,3,10394,124728,1154.888888888889,2,1,0.18181818181818182,0.09090909090909091,9,0.8181818181818182,59,597,172764,31,27,2.0,18.5,141.0,4.5,1.0,0.5,1.0,0.0,0.0,4,Critical,Long Tenure + Support Escalation
A-eb7c38,Company_47,DevTools,AU,2024-02-25,organic,Enterprise,5,False,Active,310,10.2,15,11,4,38210,458520,7642.0,3,1,0.2,0.06666666666666667,10,0.6666666666666666,70,693,203946,27,33,5.0,22.4,67.4,4.333333333333333,0.0,0.0,1.0,6.26,0.0,2,Priority,High Revenue
A-c37601,Company_48,EdTech,US,2024-10-31,partner,Basic,6,True,Active,61,2.0,12,10,2,20475,245700,3412.5,0,0,0.0,0.0,10,0.8333333333333334,48,489,131835,21,28,4.0,42.25,83.0,3.6666666666666665,0.0,0.0,1.0,0.0,0.0,0,Monitor,No Major Risk Signal
A-3b5cd1,Company_49,FinTech,US,2023-09-12,event,Basic,13,True,Active,476,15.6,13,13,0,23676,284112,1821.2307692307693,2,1,0.15384615384615385,0.07692307692307693,9,0.6923076923076923,52,523,177958,24,27,5.0,27.4,46.6,4.0,0.0,0.0,3.0,113.17,0.0,2,Priority,Long Tenure
A-b2225d,Company_50,FinTech,US,2024-03-08,ads,Basic,47,False,Churned,298,9.8,12,12,0,19088,229056,406.1276595744681,1,1,0.08333333333333333,0.08333333333333333,9,0.75,73,696,236693,60,34,2.0,42.0,38.0,3.0,0.0,0.0,3.0,0.0,1.0,0,Monitor,No Major Risk Signal
A-94f8c9,Company_51,HealthTech,US,2024-03-29,other,Basic,13,False,Active,277,9.1,16,15,1,31989,383868,2460.6923076923076,2,1,0.125,0.0625,14,0.875,77,746,204124,63,33,3.0,47.333333333333336,87.66666666666667,5.0,0.0,0.0,1.0,0.0,0.0,2,Priority,High Revenue
A-02fac6,Company_52,FinTech,US,2023-04-06,event,Pro,22,False,Active,635,20.9,11,11,0,26410,316920,1200.4545454545455,1,0,0.09090909090909091,0.0,9,0.8181818181818182,53,514,169854,34,32,6.0,23.333333333333332,100.5,4.0,0.0,0.0,1.0,0.0,0.0,2,Priority,Long Tenure
A-c1dfe1,Company_53,DevTools,DE,2023-08-07,ads,Pro,26,False,Active,512,16.8,8,7,1,25790,309480,991.9230769230769,1,2,0.125,0.25,5,0.625,39,375,127687,30,24,3.0,50.333333333333336,93.66666666666667,4.0,0.0,0.0,2.0,0.0,0.0,2,Priority,Long Tenure
A-32728c,Company_54,DevTools,US,2023-01-03,event,Pro,20,False,Churned,728,23.9,8,7,1,4498,53976,224.9,1,0,0.125,0.0,8,1.0,41,418,115325,22,26,2.0,34.5,61.5,3.5,0.0,0.0,3.0,7.58,1.0,2,Priority,Long Tenure
A-4c38bc,Company_55,HealthTech,UK,2024-03-09,event,Basic,36,False,Churned,297,9.8,16,14,2,48060,576720,1335.0,2,0,0.125,0.0,14,0.875,81,818,271358,27,37,3.0,48.333333333333336,43.0,3.5,0.0,0.0,0.0,0.0,0.0,2,Priority,High Revenue
A-1b707d,Company_56,Cybersecurity,US,2023-07-14,organic,Enterprise,1,False,Active,536,17.6,8,7,1,9332,111984,9332.0,1,0,0.125,0.0,5,0.625,38,399,110456,12,27,3.0,42.666666666666664,75.33333333333333,0.0,0.0,0.0,1.0,0.0,1.0,2,Priority,Long Tenure
A-6f8ad2,Company_57,EdTech,IN,2024-07-09,organic,Basic,1,False,Active,175,5.7,17,15,2,25928,311136,25928.0,2,1,0.11764705882352941,0.058823529411764705,10,0.5882352941176471,88,924,261489,59,38,4.0,35.25,37.25,4.333333333333333,0.0,0.0,0.0,0.0,0.0,0,Monitor,No Major Risk Signal
A-4d1e75,Company_58,DevTools,US,2024-08-21,other,Basic,20,False,Active,132,4.3,13,13,0,31390,376680,1569.5,3,1,0.23076923076923078,0.07692307692307693,9,0.6923076923076923,51,477,148106,25,28,2.0,15.0,98.5,4.0,0.0,0.0,1.0,0.0,0.0,2,Priority,High Revenue
A-9ee962,Company_59,HealthTech,US,2023-02-28,ads,Basic,9,False,Churned,672,22.1,9,7,2,9420,113040,1046.6666666666667,3,1,0.3333333333333333,0.1111111111111111,7,0.7777777777777778,39,439,120226,17,25,3.0,37.0,69.66666666666667,4.0,0.0,0.0,1.0,0.0,0.0,2,Priority,Long Tenure
A-378b99,Company_60,EdTech,UK,2024-09-01,ads,Pro,8,True,Active,121,4.0,12,11,1,12116,145392,1514.5,1,1,0.08333333333333333,0.08333333333333333,12,1.0,58,565,187525,38,33,6.0,28.5,78.83333333333333,4.5,0.0,0.0,1.0,0.0,0.0,0,Monitor,No Major Risk Signal
A-94d3da,Company_61,HealthTech,US,2023-05-03,other,Basic,41,False,Active,608,20.0,12,11,1,22673,272076,553.0,1,0,0.08333333333333333,0.0,8,0.6666666666666666,48,464,150051,25,29,6.0,26.833333333333332,80.5,3.5,0.0,0.0,1.0,0.0,0.0,2,Priority,Long Tenure
A-e351e1,Company_62,EdTech,US,2024-09-26,other,Enterprise,33,False,Active,96,3.2,5,4,1,3498,41976,106.0,0,0,0.0,0.0,4,0.8,29,295,102452,22,18,4.0,17.0,65.25,3.75,0.0,0.0,3.0,113.84,1.0,0,Monitor,No Major Risk Signal
A-9badbd,Company_63,Cybersecurity,DE,2024-06-19,ads,Enterprise,5,True,Active,195,6.4,13,11,2,32477,389724,6495.4,0,0,0.0,0.0,10,0.7692307692307693,70,729,220382,45,33,5.0,30.2,102.6,5.0,0.0,0.0,0.0,0.0,0.0,2,Priority,High Revenue
A-7e0a10,Company_64,FinTech,US,2023-11-18,ads,Enterprise,46,False,Active,409,13.4,10,10,0,41116,493392,893.8260869565217,1,0,0.1,0.0,7,0.7,50,511,173162,35,34,5.0,39.4,62.6,4.0,0.0,0.0,1.0,0.0,0.0,4,Critical,High Revenue + Long Tenure
A-118d55,Company_65,Cybersecurity,US,2024-10-22,organic,Basic,8,False,Active,70,2.3,12,11,1,23919,287028,2989.875,3,4,0.25,0.3333333333333333,9,0.75,60,599,168143,33,29,5.0,24.2,56.8,4.333333333333333,0.0,0.0,2.0,0.0,0.0,0,Monitor,No Major Risk Signal
A-526d93,Company_66,HealthTech,FR,2024-04-14,organic,Basic,43,False,Active,261,8.6,9,8,1,39201,470412,911.6511627906976,2,0,0.2222222222222222,0.0,5,0.5555555555555556,56,565,159213,45,28,5.0,51.4,134.6,3.5,1.0,0.2,3.0,41.17,0.0,4,Critical,High Revenue + Support Escalation
A-f92792,Company_67,FinTech,US,2024-07-04,ads,Pro,1,False,Active,180,5.9,14,14,0,18807,225684,18807.0,1,1,0.07142857142857142,0.07142857142857142,8,0.5714285714285714,53,528,149124,31,32,2.0,45.0,82.0,4.0,0.0,0.0,1.0,0.0,1.0,0,Monitor,No Major Risk Signal
A-84ebe4,Company_68,FinTech,US,2023-03-12,ads,Pro,18,True,Churned,660,21.7,11,9,2,27994,335928,1555.2222222222222,0,0,0.0,0.0,10,0.9090909090909091,42,396,123655,26,27,4.0,29.5,135.5,4.0,0.0,0.0,2.0,0.0,0.0,2,Priority,Long Tenure
A-5b4ebb,Company_69,Cybersecurity,UK,2024-07-10,other,Basic,21,True,Churned,174,5.7,13,12,1,27803,333636,1323.952380952381,1,0,0.07692307692307693,0.0,11,0.8461538461538461,70,692,196300,25,34,5.0,35.4,63.0,4.75,0.0,0.0,0.0,0.0,0.0,0,Monitor,No Major Risk Signal
A-2922b6,Company_70,HealthTech,US,2024-11-14,organic,Basic,15,False,Active,47,1.5,6,5,1,10669,128028,711.2666666666667,1,0,0.16666666666666666,0.0,5,0.8333333333333334,37,393,117237,13,27,2.0,15.5,103.0,4.0,0.0,0.0,1.0,0.0,0.0,0,Monitor,No Major Risk Signal
A-9b9fe9,Company_71,EdTech,AU,2023-09-28,other,Basic,5,False,Active,460,15.1,12,11,1,19725,236700,3945.0,0,1,0.0,0.08333333333333333,10,0.8333333333333334,58,597,196701,22,30,4.0,33.5,156.5,4.0,0.0,0.0,2.0,27.92,0.0,2,Priority,Long Tenure
A-a8b49c,Company_72,Cybersecurity,UK,2023-10-06,partner,Basic,7,False,Active,452,14.8,12,12,0,11567,138804,1652.4285714285713,1,0,0.08333333333333333,0.0,11,0.9166666666666666,54,545,183399,43,27,1.0,72.0,105.0,4.0,0.0,0.0,1.0,0.0,0.0,2,Priority,Long Tenure
A-9174e0,Company_73,Cybersecurity,US,2024-12-04,partner,Basic,37,False,Active,27,0.9,15,14,1,53976,647712,1458.8108108108108,2,0,0.13333333333333333,0.0,12,0.8,69,689,206138,61,34,2.0,39.0,167.0,5.0,0.0,0.0,0.0,0.0,0.0,2,Priority,High Revenue
A-a1bbb6,Company_74,DevTools,CA,2023-04-05,organic,Basic,1,False,Active,636,20.9,8,7,1,14402,172824,14402.0,0,0,0.0,0.0,5,0.625,37,366,118465,20,23,3.0,17.666666666666668,120.66666666666667,4.0,0.0,0.0,0.0,0.0,0.0,2,Priority,Long Tenure
A-c45b23,Company_75,FinTech,UK,2023-12-08,partner,Basic,5,False,Active,389,12.8,12,11,1,8504,102048,1700.8,0,0,0.0,0.0,9,0.75,59,581,181056,30,32,3.0,36.666666666666664,51.666666666666664,3.0,0.0,0.0,1.0,0.0,1.0,2,Priority,Long Tenure
A-02cd81,Company_76,HealthTech,IN,2024-03-28,other,Basic,44,False,Active,278,9.1,14,13,1,32956,395472,749.0,0,0,0.0,0.0,11,0.7857142857142857,72,684,219304,28,31,3.0,17.333333333333332,84.66666666666667,4.5,1.0,0.3333333333333333,1.0,0.0,0.0,4,Critical,High Revenue + Support Escalation
A-ee42db,Company_77,EdTech,DE,2023-04-25,ads,Enterprise,13,False,Active,616,20.2,12,12,0,11567,138804,889.7692307692307,1,1,0.08333333333333333,0.08333333333333333,11,0.9166666666666666,54,511,150876,33,31,4.0,33.75,98.25,3.0,0.0,0.0,4.0,23.52,0.0,2,Priority,Long Tenure
A-432483,Company_78,Cybersecurity,US,2023-02-06,ads,Pro,4,False,Active,694,22.8,9,6,3,25813,309756,6453.25,1,0,0.1111111111111111,0.0,7,0.7777777777777778,45,451,151460,28,25,1.0,51.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,2,Priority,Long Tenure
A-9208f0,Company_79,EdTech,US,2023-05-11,organic,Pro,1,False,Churned,600,19.7,8,7,1,3511,42132,3511.0,1,0,0.125,0.0,7,0.875,53,538,158701,31,29,8.0,41.25,59.75,3.3333333333333335,1.0,0.125,4.0,66.37,2.0,4,Critical,Long Tenure + Support Escalation
A-98a59a,Company_80,FinTech,UK,2023-08-04,partner,Enterprise,56,False,Active,515,16.9,10,10,0,36456,437472,651.0,2,1,0.2,0.1,6,0.6,44,455,124429,21,27,3.0,37.333333333333336,74.0,4.5,0.0,0.0,1.0,0.0,0.0,4,Critical,High Revenue + Long Tenure
A-fe79a5,Company_81,HealthTech,IN,2024-02-21,ads,Basic,9,True,Active,314,10.3,10,8,2,13532,162384,1503.5555555555557,2,0,0.2,0.0,9,0.9,33,335,96672,17,22,4.0,28.5,61.0,5.0,0.0,0.0,0.0,0.0,0.0,2,Priority,Long Tenure
A-726cfa,Company_82,DevTools,US,2023-07-01,partner,Pro,11,False,Active,549,18.0,19,17,2,34782,417384,3162.0,2,0,0.10526315789473684,0.0,16,0.8421052631578947,98,993,281986,45,40,3.0,35.666666666666664,128.33333333333334,4.0,0.0,0.0,1.0,122.11,0.0,4,Critical,High Revenue + Long Tenure
A-c43359,Company_83,FinTech,US,2024-11-16,organic,Pro,38,False,Active,45,1.5,8,6,2,12312,147744,324.0,2,1,0.25,0.125,8,1.0,47,461,147051,32,28,3.0,26.666666666666668,107.33333333333333,4.0,0.0,0.0,2.0,8.92,0.0,0,Monitor,No Major Risk Signal
A-271f46,Company_84,DevTools,US,2023-02-09,event,Pro,38,False,Churned,691,22.7,8,8,0,19604,235248,515.8947368421053,0,0,0.0,0.0,8,1.0,38,373,114563,16,25,1.0,36.0,79.0,0.0,0.0,0.0,2.0,0.0,1.0,2,Priority,Long Tenure
A-157070,Company_85,FinTech,US,2023-11-09,ads,Pro,16,False,Active,418,13.7,16,12,4,27506,330072,1719.125,2,1,0.125,0.0625,14,0.875,71,696,186928,26,37,3.0,42.333333333333336,118.0,3.0,1.0,0.3333333333333333,2.0,0.0,0.0,4,Critical,Long Tenure + Support Escalation
